song,aritst ,Album,Cover art,Year
Have You ,Ann Marie,Tripolar 2,https://www.google.com/url?sa=i&url=https%3A%2F%2Fm.soundcloud.com%2Fybleaked%2Fann-marie-have-you%3Fin%3Djxe02%2Fsets%2Fjamies&psig=AOvVaw0FORGHMByt1HeY-zNFBJG1&ust=1761160540023000&source=images&cd=vfe&opi=89978449&ved=0CBYQjRxqFwoTCNCCmraAtpADFQAAAAAdAAAAABAE,2019
Jealous,Beyonce,BEYONCE,https://i.scdn.co/image/ab67616d00001e024ccc03169b086af698178a99,2013
Can I ,Tink,Winter Diary,https://www.google.com/url?sa=i&url=https%3A%2F%2Fopen.spotify.com%2Ftrack%2F0BsJcvY4nJ05tWE9NygsUA&psig=AOvVaw3cwWTo7Cb_hRL6g5vuEjbt&ust=1761160334291000&source=images&cd=vfe&opi=89978449&ved=0CBYQjRxqFwoTCLD60YWAtpADFQAAAAAdAAAAABAE,2012
Cinderella story,A Boogie Wit da Hoodie,Artist  2.0,https://www.google.com/url?sa=i&url=https%3A%2F%2Fm.soundcloud.com%2Fa-boogie-wit-da-hoodie%2Fcinderella-story-1%3Fin%3Dzombxy%2Fsets%2Frackz&psig=AOvVaw2ULZh24pld7IsR6buw_1O0&ust=1761157001230000&source=images&cd=vfe&opi=89978449&ved=0CBMQjRxqFwoTCICJl6TztZADFQAAAAAdAAAAABAE,2020
Miss you so ,Frank Ocean,The Lonny Breaux Collection ,https://www.google.com/url?sa=i&url=https%3A%2F%2Fsoundcloud.com%2Fuser-327755312%2Fmiss-you-so-prod-by-midi-mafia&psig=AOvVaw0p3bU4dAhp3RK-8Zlx3z_M&ust=1761157123099000&source=images&cd=vfe&opi=89978449&ved=0CBYQjRxqFwoTCNCH1NfztZADFQAAAAAdAAAAABAE,2016
So Gone,Monica,Nostaligia ultra,"data:image/jpeg;base64,/9j/4AAQSkZJRgABAQAAAQABAAD/2wCEAAkGBxMSEhUTExMVFhUXGBcXGBYXGBgYFxgYFxYXFxcXFxUYHSggGBolHRUXITEhJSkrLi4uFx8zODMtNygtLisBCgoKDg0OGhAQGy0lHSUtLS0tKy0rLS0tLS0tLS0tLS0tLS0rLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLf/AABEIAOEA4QMBIgACEQEDEQH/xAAcAAABBQEBAQAAAAAAAAAAAAAGAAMEBQcCAQj/xABJEAABAwIDBAUIBQoEBgMAAAABAAIDBBEFEiEGMUFRE2FxgZEHFCIyUqGx0RVCU5LBFyNDYnKCk9Lh8BYzssIkVGODoqPD0+L/xAAZAQADAQEBAAAAAAAAAAAAAAAAAQIDBAX/xAArEQACAQMDAwQBBAMAAAAAAAAAAQIDERITMVEEIUEUImHwkTJxgeEzofH/2gAMAwEAAhEDEQA/AM1LSV6IFcxYQ88FPgwJxG5NHSwbbT8FOgws6davIMDJdayv5KeOmiJfvtoT8FRDKqgwox2IZmPPghvGKU9Icx1JRFSbYhrSHMJPCyFa6rdI8vPFUkSyBM07k5SMF9U7HTvfuaVYUeByu1yFUhMn4fhLXND+u1kd7P7OAtBOnJUWzeGva8At8dyrtufKDICaOhcQQcr5Wb78Wxkbut3glN2RFzVYMEA4p36MA3BfPUNDikY6ZsszTvuJX5j262PetL8l3lEfUvFHWf52uSTQZ8ouWuHt2vqN9lgpqWzLlBx3QV1WEtJuQlJQ6bkRyQXCabT6K7kmQ4/s44SXY3fqUN1FDJGSMpvzW412HZr2Q/UYEC/XUWVJjTMhiieTuN1ZUL5XHLZx5XWhu2eYL2Fk3FhgjBVDuDdFBKbXFgOe8rnHqeSQANNm/iialoS5xIUybCW9HY6H3lILmaDDJDcXuok+GkaEFaHR4SC48AF7iGHMJsG2TABaXCxa5Ke82YDYJ/Gn5DkbwUaJ5y9aoTG5gGjqVbNMN6nVMRtY96gVcGmiLgiPe6kQMXVLRk7lOhp7b0gbGujKSl9GkqFc1SHBW23aqXFhrBwVoyPReNbqudMt3K6nw1rTeyptpcG6UEcAEUSgjdu4qJVDLqNSee5NCMv+hW39S3DtVvRbEdJZ1rBGUGChzw4kHjbgiKKAN3Jtg2DOEbJxRCxaD18VYVFLT07S+RzWNFyS78BxVy2IlZZ5ctqRFEKOJ5EsljJlNi2PkSNbuPDldTkyWBu3vlDM7nQ0RLIbWMlsr387cWt956kLbLuayTO4hoFgC4XF/EclTyxFps4WPEcR1HkepFOwdc1koa9jXMcTcEA7rHj2rKs3gzSh/kRpuJYpE2ja/La4sSfVFh6R7FkWJVBjnZUQmxDg9jtR6TCOHatf+lYg/Uxlgc6zbONwQLNtlyjdzWYbZYpnke0Na0HKABbQZr6fdHiuPpm8tjt6iPs7/WfS2FYi2ohjmZq2RjXj94XUtrVkfkNx974JKZ13dAQ5nUyS/o9gcD4rToqmR77ZbNA969Gx51yW6O6iVEOuikVEjmjRubnwTXnYIuRY8ihXAqcRZYab1Cposx1CIDEXO1tYDd/VJ0IHBVcCrbEGEZWpTw3dm49e4KwdEFw6JAFO5haDYDVC2J1MrXnTRHMsKrMSgblNwqTAy6vp3SSXHFSIsMcBdErMNbmvu6lMfhqq5VgDnaTe4KjCmc7SxWhjDW8Qufo1o4JZBYDYqQtamJYHXvw5I0koWprzFvJGQWBDonL1FvmY5JIuFjSomaLroE5FuCdAXMimQ5qMv3nTkEmYeMuW6sA1e5VVxEeGAN0AT7WroNTzGIJbGJmnKcuhtv5ddlgeLYG+etnmibnyi0bnEEdJreR1/WIOo6yPZstr2zxA09HNI02dbI0/rPOUfG6A8LIp6fMdBbUrn6is4dkb0KSndsyEbEVzpMgiLnE773uT7+8owk8lUtJEyWSYCYk6N9RhsCBmPrHfyWu7A0+eM1LhrISGX4MB3jtPwTu3bHCBrm8H66X0IPyCUpTdJye4RjFVkkYZiGNTRNLHUZ6UadKCSzlmQZSRukqo2Sg5nSsa4HQ6vAItwWz09C+eSONzWlrnDgRYX10FuF1E292LEGIxYg3WEyMdI0alkjbWP7Lsvce1LpWmm7GnVp3SuDnk/ndhmNOp5Lhri6E34g+lE73D7y398pu2wtfevnryj1DanEXTQXBYYGh362pvpy9HwWx0G2kPRtLwQ+wvbXW2pC7VFnGFUsYI1USaka7gEEYp5SQ2+SMEcLnXqQ5+U6ozXIbblbemoSA1tr2jTcuZZNFllV5UyG3ZE0PJ1JNx3Juo8qhfEWdCA8ixObTXkN6MGMKZNvqQPdGXEFpIvb0TbkVFd5RqTmbdixupkDrkbyoD3G9leKCxtFd5RKYsOQuLraaW1VBDte0ghznG/NZ/BQzO9WN5/dKnR4JU8YyO2w+KdkBNqMVfnc4O1J333diusDxUEjpnvPebKNhuEsjGaUszcsw/BElPiNDE3e2/UPmhpjuhylqXyOLw6zAbBuviVPFXlBLiLDUlU9btlSAejfush7EdrYpI3R3eQ7lYG3Lcliwui8l2yps1vStzsnTtPS5b9IOzis8EkBPowSOPWXH3CylQPl3R02U/sajvKeAnIOP8TUv2nuPyXiD/APjfsz90JIwFkfQ0L9AnmOKjxvaALuA7SF4/EYW75WD94LkVzV2LFi7CpH7SUrN88f3rqLNtxQt/Tt7lai+CApaukESeUeibue49gUeTyp01/RY89egVYy4JZI8qct46aL2psx7GMP4uCGdsSGUR6yB4kLzHtp2YhNAGtLRHnOvEuygfAqP5Q5AII2niRx5Lz66bq2PQodqa/k1vZ6IMpoWjcI2f6Qm9qWA0st9wGbwK52dD/NoL6noo7m/ENCsqmASMcxwu1wLSOoixXY45QscKdp3+QN2Low4sdvytJ73bvcibFcOEsbmHiPeNQfFQ9nsINOZCfrFrQOFmAi47b+5SMdxiOmjfI8+qCbWJJt1BZ0YY07M0rTyqXRj+0TY3NztjDXxus8dbTldfrGq4OBTEA9LA0HXWS+/9kFR8ErjV+cTu0Er5H25Ak291kA1eNPa5zOkkytJDQLD0QfR137k+lqOLlB+C+pirKQcz7Ns+vWRj9lrnfGyrp8Mo2+tUyO/ZYB7ySgiTFnn6z/3nX/BdHHZb3AY09TAPguvUOULXQ0PBs7+1wH+loXIlp2+rSX/bc8/EoTn2gqHixeLfsM/lUB1Q46lxRqfAB07GWt9WGmZ3Mv79Vw7ah/CaJv7I/lCkYxg9JDiNJSCna6OYUmdzpJs958ucgh4A3m2iYZs/S1FVX0ccRhkp/OnQva9zmuFO535uVryd7R6zSLEbilqvgCDNtGTvqXH9lrvxUGTGWHfJM7sAHxKn7Y0FNQSxwMpxKehhkdJI+W7nSMDzlbG5oa0XsN+5XmDbJUk0TawRuMclHWy9A57rMnpSwaPaQ50bs17HUa6lGpIAP+loeLJXdrwPg0qzrQ6GmhqnUbeinLxG50pcSWGzrtbYhQtnH0s9RFBNSta2Z7Y88L5Q9he4NDwJHua6xINiNUaf4Ap2xwiVzz0IxOSctcbyto5Wsa2NpJbGXXFyBzU5yAAJcfcd0ULexpP+opHaOe1m9G3rbG2/iQmZcQiJJbSQgcAX1BIHWelF/BW30Y5sUc0lPRxMlBdH0kkwc9oNswYJS7LfiQLpZMCqdj1Sf0zx2G3wUWSvldfNLIb77ucb+9FeJ4HAcLNWwRtljqWwu6F8j43sfGXC4kJLXAjgbW4IMSuB1mPM+KS5SQIIZtq5XfWee1/9FFfjzzwPe4lVfQu5L3oTyTyZXcmuxmTk33n8Vw7FpTxA7Gj8VF6B3Je9AeSMnyLuPfScvtnusPgFwa2Q75HfeK5FOU5HRkpXHZhX5Ncz6k3JIAB1JPNTvKpiokfHGDuu78B8V55M6S0rweNlA2zpf+Kdcbh+JXJvXOzuqH3k+lNka5k1JBIz1XRst4BXKz3yM1J+jYm6+i6Ro7M5IHvR/G+66kcbOiqbaQjzee+o6KTs9Qq5LlVY1Fnjez2mub3OBH4oYI+cvJ3V5rwl7m34iwJB6yFWbabPCnkHRglpve5ue1Q4M9NNuIdG4tPD1TY6d10YbTVbaiEPB1AB7VyzvCqmtmd0IqpSa8ozTKU9Q0EszxHEx0j3bmtBJPcOHWi3Zugpy2SSpgBijd6c75XtYLj0Y2RR2dJIddM27fYK8wDHI5RPDRU1NTFzmNhzSObKXOJb0j3ufaQMtcMANnOaeF10tnHgA2DbOyTzOicejDHZZHEXyG5GUAH0nXB0v9UkkAErj/DdUW544JXxl7mNe2N3pEa3DRra1td2q0aSgoYmxUwrIuidEZCWuyvqjYiRvSusyBr3MLLklxDbaAG8jFtoIX00j5q2HpZGmIRxSPkjpowbNEUbSDJLYX6Q2BJ9YAWKyDAzrEtqJpauGqcxgkgEAa0B2U+b2y5gTfXLqvKHaqaKrnrGtjMk/T5gQco84zZ8ovfTNpqp2NbMtzMkpnRinfHG7NLPCCxxaM7XnPcuvqQBvNgNFUOijhfG6OpDnteCXMY/KyxHpAvAL7csqq9ybNFga+oqoYzJStqWw5YGS5ZA+1iWRF0bh0lgDa4JA46qwxLaaronGkLIGCOCWDomBzms86DXSkuLiXS+qCSSAQQi38odLHJJIKiqlMbGsgYM0cZJ0c9zbek7eS53tANbpdU+MV+HSNqTDLTiWd5DpJIpyI4hly9EOiJdI6xc5xIN3HU2CnJlYrkz3D6t0MscrbZo3te2+ouxwcLjlcI2pdo8Vqy2aCJoEMlS8vay0ZNU7PNG8yOyPafZ5eKGZJaaG4iaZ36jpJW5Yx1shvcnXe8/uqzw3EaZtEI6i9S4OcYqcNcwwkuGZzqji1wb6jQd41aVTZKRKwrAH1MD6s01FDDc5XyTSRte/Nbo2gz+id51sLDRRcernthp4pjRVQiDmRmN8jnxsvfI58bmhzbnS9zvV5S7d00QjkbSO6aKIMij9EUschv0rmx6m7ibl5JcRppvUWLa6icykE9CHGF0rnMYGshGctNmx3vIbMaLvdxcbO0Cm7HZA3NtC80rqNsUUcTpWzHL0hcXtaWj0nvOljuVMtD2lxejxCICmZS0bs15BI3I54ABaWOY0taMz5Li9zZqD6ihgja69SJH/VbCxxbf9aSQN0/ZBVJiaKxJe2STJDAbISn6wHeuv8FzcHt8UaR+S6pOpn/90v8AIpTPJXNxmH8ab5LlykdtoATDsTPxc3xTzNiZuoo1Z5KX8Zv/AGTH8QnGeSh32g+/MfiUXn9X9h7Pv/APZsW8bwpEeygG+w6yLDxKKh5JddZGntMp92Ze/kfB16Rng8/70Xnz9/IrwKLZ2jENWGhzXBzQfRINrEiyY2owqKSd7nysYdBYuaDoL3sXDmiGTYY4fLFI1zXB7iwhrSLG1xvJ5FTKzyf+evkmdI1ltLFjnbm3vcPCzSeoaOUdMI/JvSCOhha2xBzEHffM4m/fvRaXZVW4DR9FCxg0yta0DqAspsrrLrRxPcezJqU5kyZLqNXYk2Jt3HU6NaN5KHJJXYKLbsjNvKNsvA2ZtU4EB5axwY0m7tzXWaDv0F+oLPsYmbFEWga6gD4Badtjj/5t4lsNLtA3DmT1qu2V8monayrqZfWaHxMYGuAa4XDn5gQXWI0tp1rmvnK/g7YvSh33AOKTDjGwPMt8rS4Bji3PlAJtcDvXdBiOGwyB7RKbNeBljs4F7HNuCX7xmWtnyb01/Wd9yH/60yfJpTE6ySdzIR/8apv9/wAmWS+ox3EMVopHAiGTKxoYxth6LG3sL59Tckk8SSoj8So/+Xf/AOI/FbePJdSDXPL/AOv+Rdfk3pOL5vFn4MVXX1iy+2MMGIU3ClJ72/JNPxOLhTW/eH8q3g+TykG9833wPg1c/k/oj9ab+IR8AjKP1hd/UjBziIG6JvZnv+CYOJEnSIeLlv7vJtQ/9Y/95/zXn5NKD2Zf40v8yeURO7Pn2Ssd9mB3u+ahunceJX0VN5NKA72Sfxpf5llW0vk5rI6p7YIHSRucTG5trAE6BxJ0I3aqoziyJxkCMdTYeqSed/6Lp1T+o7x//K2+l8mFGGNztkD8ozFsjgM1hmsOV127yY0fOf8AiE/EJakSsJcmFOqCeB+8Pkm+l7fEfJbfN5LKT7ScfvNP+1RH+Sim4TTD7n8qepEThIxrpOo+I+SS2H8lMP8AzE3gz+VJPOIsJGuwOuAn2qHAdApDSudTLaJLXdS6zdSYuu2lWpIlokApwBMMaU8AVSIYOeUIOFGZGm3RuY49bScpHV61+5VGy2KnMGkm0jW21JsWnr4m/uU3ypVAZQPBNs742/8AmCfcEFUWIBjIw0guLmgEHUcQSuerJxmmjsowUqTTNba8DQanj1KLJUZnWJ4E9+lvcuRVB8bC23ptDieq10P4ztFFTSxtfq559IA+ow6Zj17tOorrckjkjBt2L+Mf33rN9pMak6Z9wG5XHK11i4NGmYgHS+lhv9LXkNIc8ZSWm2hIPdvWFYxhkucSSSgmZxLRfUtubTPabEtbrYW1NtVlWV0b9O7SJEuFyYhOyIksBJzE65QwBzgLfW1aOrMtl2TYxlOImDSK8YG+wG4X5AEDuQfsrg5poxO6QyaWaSLEtJzOe7k5zt/YEXbLPb+ecCbOkDrH6t2NuOxEFjGxNaWcrlu4JtzwvZXqO96ynUJihzpOpcOkCjuntzTbqsLPULUGOPcExJlXLq1qYfWN5JOZpGDHWTAJ4TKt88aOC9ZXsvxRqF6b4J7pU2ZVEdXx9a8bVNPFGoGm+CWZE2XprNfcuXDrCNQeA4+RNmRRpH9abzqswwJPSJKLmC9RmLAtIMQbYWUptaFm7MaeBobJxuNye2npSJaiaQKsJyKqCzf6ekAuX6c1PocdeRfMCO4DvJVKlMmSiaC2qTVZjLY23OvUN6CBtC+Q5YxnPMaMb3nefFVeL410dw5wdJyG4dpW8KbW5g7Ff5RMclmtc+q4ERjXx67XXOwsrZZhGW2zxENNho4Nsbdh1UnY+j6eczSkGOMEm+4ucCPmpdTiMFO4iGIRuBcRreQZ7XLj+iBsPRHpW4tU1IxXc2pt/pRe4zj3mUDWeg6YC3oCzARyBJPXbh4A5DjGJPeSS4ukebX4lzjYKbj2KFxJcdfcOoDgEN4VXs84E0urIvSa3i5/1R48VMVm7+DV2ox+WbNie0BYymo2m80mUykfUibYyE9tiPFBWJYp51USSj1b5WDkxujbeF+9VlFXuYyWrld+dn/NtHJl7Ot7LbaBR8BlBzW3ZnW7Lm3uRWviLpklIN8M2h6FhjkP5t3H2Tz7OfijjyfxEQPkN7PkOW9tQ30bi3D5LJsV1iJWw7IARYfSs1NoWHXmWhx+KzhL2h1MUndeS3kd1qJPKvJq8DgoEuIjkueTJhBjks3WoskqYmrmngor6xqzuzpjAlOemXyqK+rb1qLJVNvvcl3NlElvlTLplEM7eZXBkb7XuTsXiSnyLjpbcSo/SD2k2Xj2wmh4lnFiJG8lOHEAeKpnPHtBNOd+sPFOxLgi985HNNmqHNUZkI4+9eGpA3lUkS4F552vVQefNSTsTgZxh+NVMr7Fwy63NtApwxxrd79e8+4IaojKwktY83BBGU8R2Jl9PIdSx/3T8l6qseRm7BDNtODpZ7uVzYeCnGufkBJ15bwOoDiUGmFw+q7wKs8MxQizHkW5kKriUn5LyHE5netI4N5A5b+CbpceY2U3jzsA0OYDXidd6i40TlaxguX29XW4O5oU7B9iXkxmWRrC5wtHa5PG172v4pblXa2DvGMVkp6IGJgbnLBu0YHcbfWd26DehOOYtaSSSTqSd/aSinb6djIoKZp1H5x3YAWt95Pgs8rsUv6I3rlqrKVkdlBqMcn5ImM1t9AmMOpmkZ5CQwcG73HlfgOZUWOJ0sga0XJNgr/HJGUzBTtGaRo9I8AXC/eVvGOKsctSecm2RKusaW3B/VawHcBuCd2bqLFwPNDoan6N5a4EG2ouicLxsFGrjNMOMbqskWp4IspvKXRtiij6R92sa0nK6wIaBv7lnmM1QMYsb6IXIWNKmnHub9TVakrGyT7c05uRUD3qHLtrERpO1ZKV4r0ImS6qS8GrP2iDtRK37wUd2P8A/VH3gsxSRoxH6qRpRx02v0g13ahNOxw/aN8Qs6ST0oi9VIPJ9pshsZBfkNfgm4NqM+gfbt0QOknpR4F6mdw9OOn2x4hcnG3b82/rCBEkaUQ9TIO24w525wPevTib0Bgr3MeZRpoPUyDcYu87jdL6TkKCA4jcV02Vw3EjvKNNB6lhr9ISJIL6d3tO8SkjBD9R+5sMmByOA1Zb9WwPvCYds04nfKOsOaB4BaA2j0TdZC1jC462XFrM6sUAb9mpGj/N0v8AXt+AT9TSRRgCQtlNt1mBviQljFNPLYB4Avu/ooOG7MSVEmVri4t9Z5uWtH+48hotoNPvJmc+2w3HPDCS/KHEXyMBuG336kBd7MVUlRWtJGgzOPIC1gB4oql8ncXQkm7pLX7bcNN6FdnmOpYKuoLS12rGA7wb5GjtzH3LeFRPsjnlEpts6p1RWSOZ6jQIweYZe58SUP1Zyi1vSPw4lXsbQGqrgg6ScjeNB+KyhLKR1TWnDsOYFB0MUlS7eBlZzLjoLf3wVG+klcczgS463O8962vZ7ZaKSwkHoxWNuBe4biOptvvKdiuzdOXA5WWHIAKavUqDtYxp0VPdmN4Rg/S+syXta0H4qwx3ZdsETJGmX0nhpD2hoFwSDcdYWr0uzdDxjj7wqLyiYTSw00ZhYwOdM0ejyDHk6dymNfJmmCXaxm9RRPMdj4ogovJbJNDHKyoH5xjXhpYdMwBte/Wk4ARFaxsM1rsOpSfshxKNSSXYqtCPa5kM3kqqW/pY+8OChTeTerbxj8T8luOIUbHfWcP2XuH4qlnwnlNMP37/ABCzfVTQo9PTfgxqXYiqbwYf3vmEw7ZGq4MB7HArYThrx+nkPU4MP+0LySnHGx7rI9XL4NF0dN8mNu2Wqx+hPi35po7O1Q/Qu8W/NbF0AG4KHVMdvaG96pdW3wD6CHL+/wAGSvwWoG+J3u+abOFT/ZP+6VpknT/Zs+8fkmw6XjCO5wWqrv4/Jk+jj8/j+jNhhc32T/Ar04XN9k/wR1VmS9hBL2hzbe8qD0E3szD92I++6tVW+CH00VyCHmEv2b/ulcmikG+N/wB0/JGDKao4PlHbE38CuJmVI3yu/gn5qtT9iHQXz/oDzA8b2u8CuCw8iil76gfpPGJw/BJstURcdE7xHxsnkydKPyCtl6ibpar7OP3fNJGb+sNJcv8AB9Dsj0TFfSlzCBqdDbnZWLWrsBedY6MwIqKF0k8cLTlzBznOt6obpYDmbowwrDmQMDIxYbzzJ5k8SvRQt6QS65gMvVbsU1oCuJNSVwc21xrzeGzf8x5yt7TxWebUPyUkUYNzJJc9YYCSfvEFHW1WG53dMd0YIHa7j4LNNqp7yRM4MjLvvvP4NC6IfobFFe5Iq53BrbngiHyb4CH3nkGmrz2bx8Ag6qf0j2x8N7uwcO/d3rZ9mKTJTwxHR0zrm3CNnpHuOg/eVQWMch155SxQTYfT5IwMtifSd+07U+G7uXM9MHbwpMg/WPuTJcfa9wXFPuwj2K12zsLjrGPh8EHeU7CYoaeF0bMp6YAnqMcnyC0aK/tX7kG+Vtv/AATXezNGfEOb/uV027jyeSMxr5rQnsWrbNbJxeZU+fpg4wxl2WV4F3NBNgDYb1kkkfSdHEN8j2R/fcG/ivopzC1oa3LYAAaHgLLRtqJdd+5IEqjZWL7SpH/dd81Cfs5bdUVPe+/xCJal7+TD4/JQJHSey3xPyXLKcuTSCKR2BuG6on7yPkuX4YR+keeslXIJ4sb7/kuC8+yP77lDnM2Vij+jHDe9x8R8FDrKaYeo8d90SPkPIKJUS/qhCnK5aSBs+cDeIz2XC7a553tt33CtzL+qEhNb6vwVZN+CtvLKd1+RSZCXH6ytXz/q/BNuqLfVPu+apOXAm4kF9I5ut/cCquuqiN7wOwD8Vfur/wBU+CZqK7NvaO9quEpLdGc0nswY8+dwkYe1vyUSorJfs4n9hRFLCw/VHgFEkpW8APALdTjwc8oS5Bz6Rf8A8u3xK9V95oOTfupLTOPBGEuTaBLovWzobGJsHB39967jqY3a697rLmxYWQUMlTrXoY8/jb7R7Df8VYUeIsJ3nsN1cYsiSR7tJJ6IYLakX79AFie0s4dUzOB0aejb2RgN+IJ71q21VeI4nyXuWDPbrA9EeNliuJNNmsJ9KQ2J63HU+9dLVkok0vMuCdsZhbp5wbesR90blt1FpM9wvljaIWW6rOefHKP3UH7Nx9GekYC1jGG5cNPRADbc7qxpsWDGWBDjqSc29xNybKa0vbZChG8gomrFENT2Ifm2g01A8f6JmPHh7Hv/AKLhcZXOqMEgqglBPFD/AJTyDhz7/aQ2/iNXcGNj2bd/9FReUTEeko8jQbmWPQ2F7Enf3LSmndEyQObG0vS4jSt4MLpD2Mabf+RatsqZP1j4LGfJzO5k88xABawRjj6xzO/0tRjWbVSAb2LScXsS/dK5dVE+/wBP3KumxC36VnfdDlTtc8cR7lWT7Zk73N8AstGT8GqmkGjcUZxmZ42SdVh257e5yARtezi1h68qcZtawn6oPYnoPgepHkM5HkfX+HyUWV5PFD8e0Mbt7mdwsk/F2cHg95S0mVqIvADzXLg72rdyoDjLOZ8U63HGe171WkyXULCYzDc5h7QQmPOpR6zWnsKjDGGEet7wkcUBVYfAsvklefcxbvCakqQdz7dwUZ2IDqTL6xp5JqAnIkPDt/SDw/quHHm5vh/VR3VDeXuUeSeI8W+Nk8SXIn5h7QSVRni/spKsBZlg6vHF58VyMRHtnxKGZcQj6ymXYizhdaqJi5hxTYqz6zj2gn8FYUmPsY4kPcbAcb2uRwPYsxfifAfNPwxTvDgGEF2Ui4ILhrYNba5/oqUbdyHK/ZGhY5XPqYx0T2ubmBkFxmJGrRl5X+CDszekJe7MRuaBqOvqUWeXzeL0SQ88dQQeJVGap5J9I+kddd561OOfcqU9P2ms1e08baKMOvd+jhcC+TedOBJCoRtBD1+KB6+pDi0Nvla1oF+Jt6R7z8AowcVbhcyVW2wdTY9F1/FdU+0cI9pAWZK6Wmh68jUINrqdvAlRcTx41skccLCWsuSACTmNgN3f4rOg4q/2XxGaMubG8taSCbWuTw138FLpxSuaQrSlJIsIsUkpXSsc17S4gi9xoBa+u/eq+px+R17Osou0FdLI7848utuvw71U3VxSsZ1JtSaLKSvcd5umHVBUW6V1VjPNkjp1z0xTS9CYsmOCcrptSUwldAZMlCsKc8/NlAXqVkPNk9lYON+42UuHFGj2u8hUi9ujFDVVoITjLeR9yYdiY5e8qkuldLFD1WXrcbI3X7LpfTN97WnuHyVHnXmZGKDVZe/Srfs2+A+SSo86SMUGoya+AXsuPNwr59M24XrKVvLvUZGrggdfBYE8lKpsZcxmQMF7WDw6QOHXYOsfBXpw4FpH4qjq8PymypNPchxcdiG3NKdSSV3JQuaL8l7RvyOurTEKwGM8yk20+wRgnFt7lY2hc6xtvTwwZ6saCuADBZEcU7eSWUilTgBv0DJ1Lk4JJyRy6Vttya6VvJGbHpRAl2DyDguIJzCSC3XwRu8jgg/aTWbuCall2ZMoYe6JFnqWvG43PXp3Jgxp2hiu4KwkgaPlayq9uxFnPuyoyL2ylSRposCdyXCwylZOFq4smTY8skvUkCOUl6V4gBJJJIASSS8QAkkl4gD1JeJIALqrf3j4rqlSSWB2kj5fiFTV+/8AvkkkqgRIqzvTlR6iSSt7ozWzHaHh/fBFUe4JJILjsSOH980y5JJZPc0R4hXaH/N7kklUNyKv6SJRb1Yv9Xu+S9SVPcmnsQpkyeC9SVIiRw5cuSSTIZ4kUkkCPCkvUkCOUgvUkAeBJJJAHhSSSQAkkkkAf//Z",2003
Unthinkable ,PartyNextDoor,The Elment of freedom,,2015
Marvin Room ,Drake,Take care,https://upload.wikimedia.org/wikipedia/en/a/ae/Drake_-_Take_Care_cover.jpg,2011
Your love,Nicki Minaj ,Pinky Friday,https://www.google.com/url?sa=i&url=https%3A%2F%2Fm.soundcloud.com%2Fnickiminaj%2Fyour-love%3Fin%3D1stackie%2Fsets%2Frap-2&psig=AOvVaw3ljzk_nQgwYZ-Y2maPduNc&ust=1761157402084000&source=images&cd=vfe&opi=89978449&ved=0CBYQjRxqFwoTCPjJ59z0tZADFQAAAAAdAAAAABAE,1986
When It Rains,Tink,Winter Diary 2 forever yours,https://www.google.com/url?sa=i&url=https%3A%2F%2Fgenius.com%2FTink-when-it-rains-lyrics&psig=AOvVaw1QQoXdDQIYkYcKf1I4cgyn&ust=1761157346978000&source=images&cd=vfe&opi=89978449&ved=0CBYQjRxqFwoTCMiYpML0tZADFQAAAAAdAAAAABAE,2014
